	Time[ps] Energy[kJ/mol]		Bond 		Angle 		Dihedral 	Planarity 	   Coulomb 			VdW 	SAS_HSA     Rg_HSA1 		Rg_HSA2  	SAS_HA 		  Rg_HA 	HA-HSA_Hbo 	HSA-HSA-Hbo 	HSA-HSA-HP HSA-HSA-HP     CationPi 		PiPi 		 Ionic 		Ion_dist 		helix 		 sheet		   turn  	   coil 	3-10 helix 		Other  			CA 		 Backbone 	HeavyAtoms
    7800.000 -1614387.152   144883.450    86742.328   185487.936     1120.411 -2295068.432   262447.156    42299.840       27.766       55.434     7285.374       18.203      278.000   116246.000       29.000     2686.000       24.000      154.000       73.000        0.000       67.474        0.000        8.997       21.280        2.249        0.000        3.643        3.663        4.175
    7900.000 -1614058.700   141300.040    85895.529   185408.767     1124.504 -2296409.647   268622.108    43466.717       27.601       55.421     7227.492       18.380      292.000   116550.000       32.000     2706.000       30.000      148.000       72.000        0.000       68.166        0.000        6.920       22.491        2.422        0.000        3.295        3.312        3.870
    8000.000 -1613489.306   144287.068    86820.975   184986.621     1130.286 -2295334.586   264620.330    42279.789       27.710       55.432     7299.847       18.276      267.000   116248.000       23.000     2701.000       28.000      158.000       80.000        0.000       66.263        0.000       11.073       21.107        1.557        0.000        3.368        3.379        3.921
    8100.000 -1613496.400   144937.714    86997.511   184761.503     1121.937 -2294957.705   263642.639    43807.415       27.585       55.454     7321.811       18.397      276.000   116230.000       32.000     2722.000       33.000      153.000       71.000        0.000       66.955        0.000        8.997       20.934        3.114        0.000        3.103        3.120        3.783
    8200.000 -1613938.420   145223.876    86370.510   185090.962     1091.946 -2298931.504   267215.790    43001.960       27.656       55.399     7288.315       18.100      265.000   116142.000       35.000     2697.000       24.000      162.000       74.000        0.000       65.917        0.000        8.997       21.107        3.979        0.000        3.394        3.409        3.891
    8300.000 -1613843.183   142183.611    86057.632   185495.238     1184.513 -2297572.037   268807.859    43463.946       27.669       55.378     7256.919       18.093      257.000   116212.000       30.000     2701.000       19.000      174.000       73.000        0.000       67.474        0.000        9.689       19.723        3.114        0.000        3.511        3.523        3.990
    8400.000 -1612647.161   141162.467    86481.180   184882.235     1158.350 -2296091.979   269760.585    42669.939       27.764       55.397     7249.616       17.969      273.000   116192.000       28.000     2692.000       38.000      139.000       71.000        0.000       69.550        0.000        6.228       21.107        3.114        0.000        3.579        3.593        4.114
    8500.000 -1614589.996   141769.219    86405.340   185360.271     1127.548 -2296194.347   266941.973    43092.137       27.812       55.387     7280.898       18.121      249.000   116344.000       36.000     2742.000       36.000      175.000       83.000        0.000       63.668        0.000       11.765       23.010        1.557        0.000        3.702        3.715        4.203
    8600.000 -1613656.939   144416.615    86474.188   185391.483     1127.763 -2293500.584   262433.597    42260.841       27.711       55.440     7287.622       17.928      259.000   116220.000       30.000     2731.000       27.000      167.000       79.000        0.000       65.225        0.000       10.381       20.069        4.325        0.000        3.635        3.650        4.170
    8700.000 -1614456.809   143666.148    86243.090   185383.490     1071.394 -2293183.210   262362.279    42728.258       27.661       55.421     7319.222       18.202      249.000   116100.000       26.000     2722.000       18.000      142.000       77.000        0.000       63.495        0.000       11.073       21.453        3.979        0.000        3.520        3.528        4.101
    8800.000 -1613415.600   143415.474    86216.226   185475.314     1114.421 -2294901.940   265264.906    42560.526       27.579       55.382     7233.892       18.017      264.000   116376.000       29.000     2696.000       23.000      148.000       82.000        0.000       64.533        0.000        9.689       22.491        3.287        0.000        3.619        3.626        4.157
    8900.000 -1613273.070   145447.200    86078.091   185083.175     1073.477 -2295349.303   264394.289    42222.757       27.519       55.404     7259.103       18.141      271.000   116336.000       28.000     2715.000       30.000      152.000       79.000        0.000       65.744        0.000       10.381       21.107        2.768        0.000        3.581        3.592        4.061
    9000.000 -1613593.892   142494.889    86271.328   185667.546     1151.308 -2294116.462   264937.499    42005.240       27.599       55.394     7243.420       18.012      262.000   116312.000       30.000     2742.000       31.000      157.000       79.000        0.000       66.090        0.000       10.381       21.972        1.557        0.000        3.673        3.683        4.137
    9100.000 -1613526.212   143123.969    86166.104   184521.404     1110.692 -2294898.135   266449.755    43343.226       27.836       55.423     7244.876       18.049      269.000   116328.000       28.000     2659.000       38.000      133.000       74.000        0.000       67.820        0.000        8.304       21.453        2.422        0.000        3.743        3.758        4.160
    9200.000 -1615021.197   143570.416    86252.355   185508.365     1182.949 -2297713.491   266178.208    42460.717       27.690       55.379     7273.168       18.059      278.000   116260.000       30.000     2696.000       22.000      145.000       79.000        0.000       63.841        0.000       15.225       20.069        0.865        0.000        3.540        3.551        4.050
    9300.000 -1612474.720   141815.887    86178.107   185785.449     1190.475 -2294073.993   266629.356    43377.552       27.596       55.372     7185.191       18.206      266.000   116350.000       34.000     2755.000       40.000      146.000       81.000        0.000       64.533        0.000        9.689       22.664        3.114        0.000        3.436        3.446        3.965
